nbId,Taille(cm),Poids(kg)
219,175,53.0
220,173,63.0
221,167,49.5
222,167,59.0
223,181,62.0
224,172,51.5
225,165,52.0
226,177,58.0
227,178,55.5
228,168,53.5
229,174,58.0
230,175,53.5
231,170,57.0
232,173,64.0
233,177,66.0
234,182,52.5
235,185,61.5
236,171,60.5
237,171,52.5
238,174,52.0
239,174,67.5
240,174,64.5
241,162,61.0
242,172,64.5
243,176,63.0
244,169,61.0
245,166,53.0
246,178,52.5
247,177,61.0
248,166,54.5
249,174,54.5
250,167,38.5
251,178,63.0
252,168,65.0
253,173,56.0
254,166,52.5
255,176,55.0
256,172,54.5
257,171,56.5
258,170,53.0
259,173,58.0
260,169,53.0
261,178,55.5
262,172,56.0
263,169,49.5
264,162,47.5
265,173,60.0
266,170,57.5
267,168,57.0
268,180,60.5
269,180,55.5
270,186,59.0
271,162,53.0
272,172,57.0
273,172,45.5
274,171,53.5
275,170,62.0
276,175,54.0
277,174,56.5
278,164,56.5
279,165,57.5
280,170,55.0
281,170,60.5
282,178,58.0
283,172,56.5
284,168,46.5
285,175,61.0
286,167,46.0
287,173,66.0
288,178,70.5
289,178,63.0
290,169,52.5
291,176,54.5
292,170,52.0
293,172,60.5
294,176,42.0
295,172,60.0
296,167,53.5
297,168,59.5
298,171,59.0
299,165,58.5
300,176,65.0
301,175,63.0
302,177,59.5
303,175,56.5
304,173,61.5
305,175,56.5
306,161,50.5
307,167,58.5
308,176,58.0
309,177,55.0
310,171,53.5
311,175,56.0
312,174,69.0
313,173,52.5
314,170,55.5
315,181,58.5
316,176,62.5
317,166,65.5
318,169,55.0
319,173,51.5
320,184,67.5
321,173,59.5
322,169,55.5
323,171,60.5
324,168,61.0
325,169,62.5
326,173,51.0
327,167,55.0
328,176,52.0
329,164,50.0
330,176,57.0
331,171,54.0
332,172,54.0
333,176,68.5
334,172,55.0
335,170,53.5
336,178,65.0
337,178,66.0
338,180,58.0
339,168,52.5
340,166,47.5
341,175,63.0
342,177,66.0
343,179,56.5
344,171,56.5
345,172,57.0
346,172,63.0
347,169,55.0
348,175,52.0
349,174,58.5
350,177,62.5
351,178,61.0
352,172,58.0
353,173,52.5
354,171,59.5
355,173,58.0
356,175,57.0
357,176,54.5
358,178,64.0
359,175,62.0
360,163,53.5
361,168,59.0
362,176,69.0
363,177,55.0
364,174,61.5
365,173,59.0
366,176,60.0
367,174,63.0
368,184,76.5
369,179,58.0
370,167,60.0
371,169,55.5
372,180,63.5
373,171,64.5
374,172,62.5
375,173,57.0
376,175,65.0
377,172,55.5
378,164,49.5
379,167,45.5
380,174,52.5
381,175,63.5
382,173,57.0
383,176,61.0
384,184,62.0
385,168,58.0
386,176,56.0
387,175,53.0
388,169,56.5
389,176,57.0
390,172,49.0
391,176,65.0
392,171,54.0
393,169,54.0
394,175,60.0
395,162,54.0
396,175,57.0
397,169,57.5
398,170,51.5
399,172,52.5
400,169,59.0
401,170,57.0
402,167,53.0
403,178,62.5
404,176,68.0
405,178,68.5
406,165,53.0
407,177,62.5
408,172,58.0
409,162,55.0
410,182,65.5
411,165,48.0
412,164,54.5
413,158,49.5
414,166,57.0
415,172,50.0
416,180,61.0
417,173,52.5
418,171,56.5
419,180,53.0
420,172,60.5
421,171,49.5
422,173,61.0
423,166,59.5
424,174,59.5
425,178,57.5
426,176,54.0
427,170,48.0
428,166,61.0
429,178,60.0
430,172,57.0
431,177,57.5
432,172,64.5
433,180,56.5
434,177,55.5
435,170,56.0
436,172,59.5
437,166,56.5
438,180,58.0
439,181,62.0
440,169,53.5
441,173,55.0
442,173,54.0
443,181,57.5
444,170,58.5
445,181,61.0
446,176,66.5
447,176,73.5
448,174,59.0
449,177,60.0
450,175,58.0
451,173,57.0
452,176,61.0
453,173,55.5
454,172,57.0
455,175,66.0
456,177,54.5
457,170,50.5
458,183,63.0
459,171,61.0
460,168,53.0
461,167,56.0
462,173,62.0
463,180,69.5
464,180,57.5
465,171,66.0
466,177,61.5
467,169,49.5
468,174,50.0
469,170,62.5
470,174,54.0
471,173,52.5
472,179,60.0
473,167,42.5
474,167,58.0
475,174,61.0
476,169,56.5
477,170,56.5
478,178,60.5
479,172,61.0
480,174,59.0
481,177,62.5
482,174,57.5
483,173,60.0
484,173,60.0
485,165,53.5
486,176,57.0
487,176,58.0
488,180,64.5
489,175,63.5
490,168,50.0
491,180,60.0
492,175,58.5
493,180,56.5
494,168,57.5
495,177,67.5
496,170,64.5
497,175,57.5
498,170,55.5
499,171,51.0
500,164,61.0
501,174,54.5
502,172,52.5
503,181,58.5
504,179,61.0
505,182,53.5
506,170,48.0
507,168,57.5
508,165,52.0
509,174,59.0
510,173,56.0
511,175,55.5
512,178,57.0
513,174,50.5
514,174,57.0
515,170,54.5
516,179,60.0
517,176,60.0
518,172,53.5
519,165,46.0
520,176,58.5
521,175,61.0
522,172,58.0
523,173,58.0
524,167,63.0
525,165,51.5
526,174,67.0
527,169,60.0
528,176,60.0
529,167,47.5
530,168,58.0
531,176,59.5
532,171,58.5
533,167,55.5
534,176,71.5
535,169,55.0
536,175,67.0
537,172,53.5
538,177,60.0
539,173,53.5
540,181,56.0
541,169,59.0
542,168,55.5
543,173,49.0
544,173,54.0
545,170,57.0
546,182,67.5
547,168,68.0
548,175,57.5
549,175,58.5
550,165,53.5
551,168,57.0
552,181,67.5
553,172,48.5
554,175,60.5
555,173,56.5
556,172,51.0
557,172,58.0
558,177,61.0
559,173,63.0
560,176,57.0
561,179,59.0
562,172,61.0
563,172,48.0
564,173,57.5
565,170,55.5
566,182,68.5
567,163,52.5
568,173,57.0
569,178,59.5
570,178,58.5
571,170,58.5
572,178,67.0
573,175,48.0
574,173,50.0
575,176,54.0
576,174,55.5
577,167,56.5
578,177,61.5
579,167,53.0
580,175,57.0
581,175,60.5
582,171,62.5
583,179,56.5
584,178,62.0
585,165,52.0
586,176,60.0
587,174,65.0
588,167,61.0
589,163,55.5
590,178,69.5
591,174,57.5
592,173,61.0
593,172,61.0
594,168,53.5
595,177,55.0
596,167,60.0
597,170,63.0
598,171,50.0
599,179,70.0
600,178,56.5
601,167,61.0
602,184,62.5
603,178,67.5
604,172,57.5
605,168,53.5
606,178,67.5
607,173,58.0
608,175,59.0
609,169,57.0
610,178,58.5
611,167,56.5
612,174,68.5
613,165,48.5
614,177,66.0
615,169,55.0
616,179,59.5
617,178,61.5
618,178,56.0
619,171,60.0
620,173,53.5
621,172,59.0
622,165,55.5
623,169,52.0
624,170,53.0
625,167,63.0
626,170,56.0
627,169,60.0
628,178,65.0
629,178,60.5
630,164,45.0
631,173,55.5
632,171,47.5
633,180,65.0
634,173,59.5
635,181,65.0
636,173,64.5
637,166,49.0
638,169,48.0
639,181,57.0
640,175,48.5
641,168,54.0
642,177,62.0
643,181,66.0
644,168,59.0
645,168,49.0
646,172,55.0
647,169,61.5
648,178,62.5
649,181,56.0
650,174,58.5
651,175,60.5
652,173,48.5
653,168,51.5
654,168,57.0
655,181,63.5
656,172,65.0
657,181,66.0
658,173,58.0
659,171,61.0
660,175,63.5
661,174,66.5
662,170,60.0
663,170,55.5
664,167,59.5
665,166,58.5
666,173,57.0
667,179,69.5
668,167,56.5
669,177,61.0
670,173,52.5
671,178,53.5
672,174,56.5
673,176,61.0
674,172,58.5
675,180,60.5
676,179,67.0
677,182,70.5
678,174,57.5
679,176,61.0
680,179,61.0
681,171,58.5
682,171,56.0
683,174,51.0
684,170,50.5
685,184,67.5
686,174,62.0
687,180,60.5
688,168,53.0
689,174,56.5
690,171,55.0
691,172,56.0
692,171,62.0
693,172,55.0
694,176,68.5
695,178,64.5
696,179,61.0
697,169,60.5
698,172,61.5
699,167,43.0
700,176,54.5
701,179,69.5
702,171,63.5
703,174,66.0
704,170,54.0
705,167,56.0
706,168,50.0
707,173,50.5
708,183,63.5
709,170,60.5
710,176,60.5
711,164,51.0
712,170,56.5
713,175,56.0
714,179,64.5
715,178,52.5
716,167,59.5
717,170,59.5
718,168,57.5
719,176,55.5
720,169,52.5
721,173,57.5
722,177,65.0
723,163,57.0
724,168,49.5
725,184,63.0
726,168,46.5
727,181,65.5
728,160,37.5
729,180,66.0
730,173,61.0
731,165,61.0
732,166,50.5
733,175,54.5
734,165,43.5
735,168,53.0
736,168,57.5
737,176,65.5
738,174,55.5
739,178,61.0
740,174,56.5
741,172,61.5
742,164,55.0
743,164,56.5
744,167,60.5
745,167,56.5
746,171,61.5
747,183,65.0
748,175,59.0
749,172,57.5
750,179,64.0
751,162,48.5
752,168,55.5
753,168,50.5
754,178,62.5
755,177,65.0
756,168,52.0
757,173,58.0
758,171,61.0
759,175,63.5
760,173,55.5
761,167,50.5
762,176,61.5
763,179,60.5
764,180,53.5
765,180,61.0
766,169,69.0
767,178,58.5
768,170,54.5
769,182,57.0
770,177,58.0
771,176,61.5
772,169,52.5
773,163,57.5
774,173,57.0
775,178,55.0
776,180,55.5
777,165,54.0
778,170,60.5
779,176,60.5
780,174,56.5
781,168,60.0
782,183,65.0
783,167,59.0
784,178,58.5
785,165,51.5
786,171,55.5
787,169,53.5
788,171,59.0
789,172,50.5
790,172,64.5
791,162,55.5
792,169,55.5
793,183,54.0
794,173,63.0
795,173,64.0
796,172,54.5
797,176,62.0
798,170,53.5
799,170,62.5
800,177,58.5
801,171,56.0
802,173,52.5
803,173,59.0
804,176,61.5
805,175,58.0
806,180,63.0
807,163,49.5
808,181,56.5
809,183,62.0
810,168,54.5
811,172,52.5
812,171,52.5
813,185,64.5
814,166,61.5
815,175,61.5
816,166,49.0
817,174,57.0
818,181,65.0
819,170,58.0
820,172,58.0
821,170,47.0
822,173,71.0
823,168,47.5
824,163,55.0
825,171,60.0
826,164,53.5
827,175,61.5
828,179,64.0
829,163,50.5
830,170,58.0
831,173,59.0
832,173,58.0
833,172,65.0
834,171,56.0
835,167,53.5
836,177,59.5
837,183,58.5
838,176,65.5
839,171,52.5
840,176,53.0
841,170,64.5
842,172,60.0
843,173,61.5
844,168,57.5
845,181,59.0
846,172,61.0
847,178,55.0
848,184,65.0
849,169,56.5
850,174,54.5
851,169,63.0
852,175,59.5
853,176,59.5
854,173,59.0
855,174,56.0
856,180,62.5
857,179,62.0
858,172,53.5
859,176,52.5
860,173,56.5
861,174,55.0
862,168,47.5
863,181,66.0
864,166,49.0
865,168,59.0
866,172,53.5
867,176,61.5
868,175,58.0
869,175,68.5
870,174,51.0
871,182,71.0
872,175,62.5
873,168,49.5
874,184,63.5
875,170,56.5
876,167,59.0
877,177,68.5
878,168,49.5
879,169,48.0
880,175,65.0
881,173,52.0
882,172,56.0
883,181,63.5
884,170,52.5
885,180,66.5
886,181,70.0
887,180,62.5
888,168,57.0
889,173,63.5
890,163,57.5
891,170,51.5
892,179,59.0
893,166,52.5
894,176,63.0
895,173,57.5
896,171,57.0
897,172,51.5
898,178,56.0
899,164,56.0
900,177,58.0
901,169,58.0
902,173,50.0
903,168,58.0
904,170,53.5
905,171,59.0
906,173,59.0
907,170,47.5
908,175,55.5
909,177,62.5
910,169,49.0
911,169,64.0
912,181,69.5
913,169,61.0
914,163,49.5
915,165,53.0
916,170,56.5
917,175,57.0
918,181,60.5
919,181,55.5
920,177,61.0
921,170,50.5
922,171,53.0
923,183,65.0
924,171,45.5
925,174,58.0
926,171,62.0
927,176,66.0
928,175,57.5
929,167,58.0
930,169,55.5
931,168,60.5
932,176,53.0
933,180,65.5
934,172,60.0
935,166,56.0
936,169,51.5
937,170,56.0
938,172,61.0
939,163,58.0
940,170,55.0
941,167,55.5
942,172,57.0
943,174,56.5
944,168,53.0
945,170,59.0
946,176,56.0
947,174,62.5
948,176,59.5
949,172,64.5
950,167,57.0
951,168,47.5
952,172,53.0
953,172,60.0
954,177,57.0
955,168,59.0
956,178,59.0
957,165,60.0
958,176,64.5
959,177,58.0
960,182,69.5
961,176,57.5
962,175,51.5
963,177,61.0
964,174,58.0
965,171,57.5
966,168,55.0
967,168,57.5
968,180,60.5
969,171,57.0
970,166,55.0
971,176,59.0
972,175,59.0
973,184,56.0
974,173,62.5
975,174,58.0
976,171,60.5
977,175,51.5
978,169,61.5
979,165,55.5
980,172,54.0
981,185,61.0
982,180,56.5
983,173,59.5
984,171,56.5
985,169,58.5
986,172,55.5
987,177,57.5
988,173,61.0
989,170,60.0
990,171,47.0
991,169,53.0
992,170,56.0
993,177,68.0
994,177,61.5
995,166,51.0
996,173,62.5
997,184,60.0
998,180,57.0
999,166,64.0
1000,172,61.5
1001,178,61.0
1002,171,55.5
1003,169,58.0
1004,177,59.5
1005,175,59.5
1006,162,49.5
1007,174,52.0
1008,173,60.5
1009,180,61.5
1010,175,67.0
1011,169,56.0
1012,174,55.0
1013,168,52.5
1014,177,56.0
1015,171,54.0
1016,177,54.0
1017,174,56.5
1018,174,59.5
1019,166,53.5
1020,170,49.5
1021,178,63.5
1022,171,55.0
1023,169,44.5
1024,171,53.5
1025,173,62.0
1026,175,67.5
1027,172,56.0
1028,176,60.5
1029,166,53.0
1030,174,56.0
1031,166,53.5
1032,174,62.0
1033,181,58.5
1034,176,64.5
1035,169,58.5
1036,176,52.5
1037,174,54.0
1038,172,55.0
1039,174,65.0
1040,168,50.0
1041,175,55.5
1042,172,56.5
1043,173,54.0
1044,172,60.0
1045,177,60.5
1046,180,73.0
1047,164,54.0
1048,173,63.0
1049,172,56.5
1050,176,61.5
1051,172,52.5
1052,172,63.0
1053,173,62.5
1054,178,65.5
1055,162,49.5
1056,167,57.5
1057,176,56.5
1058,171,52.0
1059,175,60.0
1060,175,57.0
1061,177,58.5
1062,169,53.5
1063,173,51.0
1064,163,57.0
1065,167,54.0
1066,170,57.0
1067,176,56.5
1068,177,66.0
1069,168,53.0
1070,176,60.0
1071,174,52.0
1072,176,55.5
1073,176,59.0
1074,174,54.0
1075,169,60.5
1076,178,58.5
1077,178,63.0
1078,173,46.0
1079,178,64.0
1080,174,61.0
1081,169,59.0
1082,182,63.0
1083,180,61.5
1084,173,59.0
1085,178,58.5
1086,168,58.5
1087,177,51.0
1088,173,57.0
1089,178,53.5
1090,166,56.0
1091,174,59.0
1092,164,52.0
1093,173,52.5
1094,174,62.5
1095,173,51.0
1096,175,62.0
1097,173,56.5
1098,176,61.5
1099,161,52.0
1100,176,55.5
1101,167,58.5
1102,172,59.0
1103,167,63.5
1104,169,55.0
1105,176,58.5
1106,176,62.0
1107,172,66.0
1108,177,63.5
1109,179,56.5
1110,169,61.5
1111,176,58.0
1112,178,65.5
1113,172,60.0
1114,176,61.5
1115,172,68.5
1116,172,56.5
1117,179,61.5
1118,180,62.0
1119,177,62.5
1120,170,52.0
1121,174,64.0
1122,164,50.5
1123,167,57.5
1124,166,60.5
1125,179,65.5
1126,169,49.0
1127,171,56.5
1128,170,58.5
1129,172,59.5
1130,172,50.5
1131,169,50.5
1132,172,63.5
1133,177,57.0
1134,159,52.0
1135,164,51.5
1136,173,53.0
1137,169,62.5
1138,178,55.5
1139,164,60.5
1140,171,56.5
1141,183,65.5
1142,169,52.5
1143,167,53.0
1144,181,63.5
1145,174,60.5
1146,165,54.5
1147,170,56.0
1148,179,60.5
1149,172,55.0
1150,168,59.0
1151,175,62.0
1152,174,59.5
1153,170,60.5
1154,173,62.0
1155,165,59.5
1156,179,57.0
1157,173,52.0
1158,175,59.0
1159,170,59.5
1160,178,61.5
1161,166,54.5
1162,175,58.5
1163,189,68.0
1164,163,54.5
1165,172,60.0
1166,176,60.0
1167,164,54.0
1168,175,62.0
1169,174,67.0
1170,169,66.0
1171,178,56.5
1172,171,58.0
1173,170,57.0
1174,174,50.0
1175,170,49.0
1176,178,61.0
1177,170,61.0
1178,175,63.5
1179,171,57.5
1180,167,61.0
1181,167,45.5
1182,170,58.5
1183,170,58.5
1184,161,47.0
1185,174,52.5
1186,164,47.5
1187,161,59.5
1188,170,58.5
1189,166,46.5
1190,182,60.5
1191,175,66.5
1192,180,64.0
1193,175,60.0
1194,171,54.0
1195,168,60.5
1196,172,61.0
1197,174,59.0
1198,173,62.0
1199,182,61.0
1200,174,58.0
1201,181,59.0
1202,171,59.0
1203,172,58.0
1204,163,61.0
1205,178,64.0
1206,169,52.5
1207,176,61.5
1208,177,65.0
1209,172,65.0
1210,173,52.0
1211,183,68.0
1212,171,60.0
1213,166,57.5
1214,167,47.0
1215,175,57.0
1216,166,59.5
1217,173,56.5
1218,177,64.0
1219,176,56.5
1220,178,60.5
1221,174,59.0
1222,165,48.5
1223,172,49.5
1224,169,50.0
1225,173,56.5
1226,176,59.5
1227,178,62.5
1228,173,52.5
1229,173,53.5
1230,175,53.0
1231,170,52.5
1232,173,59.0
1233,175,67.5
1234,180,57.0
1235,173,52.5
1236,176,72.0
1237,174,64.0
1238,174,59.0
1239,176,62.0
1240,168,56.0
1241,170,53.5
1242,166,46.5
1243,174,59.5
1244,170,65.5
1245,159,45.5
1246,175,54.5
1247,181,65.5
1248,175,52.0
1249,173,64.0
1250,164,52.0
1251,168,55.0
1252,175,54.0
1253,179,61.5
1254,171,52.5
1255,168,56.0
1256,176,60.5
1257,180,62.0
1258,167,56.5
1259,166,53.0
1260,175,60.5
1261,172,62.5
1262,168,60.5
1263,175,52.0
1264,166,62.5
1265,172,59.5
1266,178,62.0
1267,177,61.5
1268,172,51.5
1269,167,60.0
1270,181,60.5
1271,168,48.5
1272,165,43.0
1273,167,52.0
1274,170,57.5
1275,173,57.5
1276,168,50.5
1277,181,60.0
1278,178,60.5
1279,180,65.5
1280,173,59.0
1281,175,48.5
1282,173,55.5
1283,177,53.5
1284,170,48.5
1285,172,58.5
1286,172,58.0
1287,164,46.5
1288,177,58.0
1289,174,63.5
1290,179,60.5
1291,169,54.5
1292,162,46.5
1293,169,61.0
1294,170,55.0
1295,170,49.0
1296,184,66.0
1297,172,52.0
1298,174,56.5
1299,167,51.5
1300,169,57.5
1301,169,56.5
1302,170,54.5
1303,175,56.5
1304,178,59.0
1305,178,62.5
1306,172,57.5
1307,169,53.5
1308,171,54.5
1309,173,61.0
1310,168,54.5
1311,179,63.5
1312,173,63.0
1313,168,47.5
1314,173,63.5
1315,166,63.5
1316,170,53.5
1317,178,55.5
1318,173,59.0
1319,178,62.5
1320,170,54.5
1321,181,64.0
1322,164,58.0
1323,174,55.5
1324,178,61.5
1325,178,72.0
1326,169,47.0
1327,166,56.0
1328,170,54.0
1329,168,63.5
1330,178,56.5
1331,182,60.0
1332,170,52.5
1333,184,74.0
1334,174,59.5
1335,169,56.5
1336,174,56.0
1337,169,54.0
1338,177,61.5
1339,178,63.5
1340,172,54.5
1341,170,51.5
1342,174,52.5
1343,173,58.5
1344,166,44.0
1345,173,55.5
1346,176,58.5
1347,169,58.5
1348,168,60.5
1349,172,59.0
1350,185,63.0
1351,179,63.0
1352,171,48.0
1353,174,61.5
1354,183,67.0
1355,164,49.5
1356,169,58.5
1357,183,67.0
1358,174,58.5
1359,176,58.0
1360,167,58.5
1361,173,56.0
1362,173,55.5
1363,173,72.5
1364,172,55.0
1365,170,56.5
1366,174,59.0
1367,169,53.5
1368,179,66.5
1369,174,58.5
1370,171,52.5
1371,162,47.0
1372,171,55.5
1373,181,56.5
1374,173,45.5
1375,172,60.0
1376,180,61.0
1377,180,67.5
1378,176,68.5
1379,172,55.0
1380,169,60.0
1381,170,53.5
1382,171,54.5
1383,178,64.0
1384,188,58.5
1385,174,58.5
1386,175,67.5
1387,169,51.0
1388,174,59.0
1389,175,56.0
1390,163,45.0
1391,184,63.0
1392,177,60.0
1393,176,58.0
1394,171,62.0
1395,175,57.5
1396,167,50.5
1397,176,58.5
1398,170,56.0
1399,173,64.0
1400,169,57.5
1401,169,53.5
1402,169,52.5
1403,168,62.0
1404,173,57.5
1405,171,58.5
1406,174,64.5
1407,174,62.0
1408,170,55.5
1409,176,66.5
1410,178,64.5
1411,174,63.5
1412,173,50.0
1413,171,61.0
1414,167,58.0
1415,171,49.5
1416,180,63.0
1417,185,68.5
1418,165,59.0
1419,174,51.5
1420,175,58.5
1421,171,60.5
1422,169,56.5
1423,167,55.0
1424,180,62.5
1425,165,57.0
1426,179,61.5
1427,173,48.5
1428,180,65.5
1429,169,45.5
1430,183,59.0
1431,178,64.0
1432,179,65.0
1433,165,41.0
1434,177,59.0
1435,166,56.0
1436,176,70.0
1437,182,62.5
1438,174,64.5
1439,171,57.5
1440,173,60.0
1441,180,55.0
1442,175,54.5
1443,178,58.0
1444,175,61.0
1445,164,49.0
1446,162,56.5
1447,174,56.0
1448,176,59.0
1449,186,70.0
1450,176,69.0
1451,180,61.5
1452,172,57.5
1453,180,62.5
1454,172,56.5
1455,181,70.0
1456,183,61.0
1457,167,53.5
1458,167,58.0
1459,174,53.5
1460,179,58.0
1461,169,59.0
1462,169,59.5
1463,173,58.0
1464,177,55.5
1465,173,65.0
1466,172,48.5
1467,171,56.5
1468,168,51.5
1469,168,48.0
1470,179,57.0
1471,170,54.5
1472,175,61.5
1473,164,51.0
1474,179,57.5
1475,174,57.5
1476,173,63.0
1477,177,65.0
1478,172,56.5
1479,175,54.0
1480,175,58.5
1481,181,64.0
1482,165,56.5
1483,164,53.5
1484,172,58.0
1485,166,57.0
1486,174,63.5
1487,177,60.0
1488,164,59.0
1489,181,63.0
1490,167,55.0
1491,168,55.5
1492,170,53.5
1493,174,61.5
1494,174,56.0
1495,168,46.5
1496,170,54.0
1497,165,47.5
1498,169,58.5
1499,173,62.5
1500,177,63.0
1501,182,59.0
1502,165,56.5
1503,170,58.0
1504,172,57.0
1505,176,55.0
1506,177,58.0
1507,171,55.0
1508,173,58.5
1509,174,58.0
1510,171,51.5
1511,175,60.0
1512,166,50.0
1513,174,63.0
1514,175,58.5
1515,166,60.5
1516,170,56.5
1517,166,43.5
1518,179,69.5
1519,180,55.0
1520,170,58.0
1521,168,54.5
1522,171,58.0
1523,171,50.5
1524,180,69.5
1525,162,50.5
1526,170,55.0
1527,167,56.0
1528,170,53.0
1529,173,61.0
1530,169,51.5
1531,169,51.5
1532,169,58.0
1533,174,57.0
1534,168,52.5
1535,170,63.0
1536,179,60.5
1537,166,59.0
1538,171,52.0
1539,179,62.5
1540,173,52.0
1541,179,63.5
1542,174,56.5
1543,172,59.0
1544,177,64.5
1545,177,57.0
1546,173,54.0
1547,167,48.5
1548,170,57.0
1549,161,52.5
1550,182,58.5
1551,178,58.5
1552,181,66.0
1553,182,56.0
1554,166,56.5
1555,166,55.5
1556,166,54.5
1557,171,58.5
1558,171,50.5
1559,165,53.5
1560,164,49.5
1561,177,60.5
1562,172,56.5
1563,176,62.0
1564,181,65.0
1565,167,53.0
1566,168,59.5
1567,169,62.5
1568,171,58.5
1569,172,52.0
1570,174,63.0
1571,168,56.0
1572,172,55.5
1573,173,68.0
1574,174,62.0
1575,168,63.0
1576,178,54.0
1577,166,53.0
1578,169,59.5
1579,172,59.0
1580,179,59.5
1581,173,57.0
1582,178,60.0
1583,172,55.0
1584,175,55.5
1585,174,67.0
1586,176,59.5
1587,173,63.5
1588,172,57.5
1589,170,53.0
1590,174,60.0
1591,171,59.5
1592,174,60.0
1593,167,56.5
1594,180,59.0
1595,173,59.5
1596,177,55.0
1597,170,53.0
1598,175,65.0
1599,179,63.5
1600,173,57.5
1601,174,53.0
1602,175,66.0
1603,171,61.5
1604,174,57.5
1605,171,59.5
1606,165,59.5
1607,166,57.0
1608,176,66.5
1609,169,49.5
1610,161,55.0
1611,172,51.0
1612,177,63.0
1613,178,62.0
1614,179,61.5
1615,181,67.5
1616,169,54.5
1617,180,60.5
1618,172,63.5
1619,162,58.5
1620,170,55.0
1621,174,57.0
1622,179,53.5
1623,166,61.0
1624,175,55.5
1625,173,61.5
1626,167,50.5
1627,171,53.0
1628,172,60.0
1629,171,59.0
1630,173,56.5
1631,179,58.0
1632,171,54.0
1633,168,54.0
1634,166,53.0
1635,183,58.0
1636,171,58.5
1637,174,67.0
1638,177,60.0
1639,167,59.0
1640,171,64.5
1641,172,56.0
1642,166,52.0
1643,179,61.0
1644,165,58.5
1645,177,60.5
1646,180,59.0
1647,173,63.0
1648,172,59.5
1649,183,61.5
1650,175,59.0
1651,174,65.5
1652,168,55.5
1653,171,50.0
1654,179,68.0
1655,168,56.0
1656,174,58.5
1657,174,57.0
1658,173,59.0
1659,168,57.0
1660,169,60.0
1661,174,63.5
1662,170,52.0
